instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
12945410,50568,NIFTY2661623250CE,NIFTY,0,2026-06-16,23250.0,0.05,65,CE,NFO-OPT,NFO
12945666,50569,NIFTY2661623250PE,NIFTY,0,2026-06-16,23250.0,0.05,65,PE,NFO-OPT,NFO
12944642,50565,NIFTY2661623200CE,NIFTY,0,2026-06-16,23200.0,0.05,65,CE,NFO-OPT,NFO
12944898,50566,NIFTY2661623200PE,NIFTY,0,2026-06-16,23200.0,0.05,65,PE,NFO-OPT,NFO
12945922,50570,NIFTY2661623300CE,NIFTY,0,2026-06-16,23300.0,0.05,65,CE,NFO-OPT,NFO
12946178,50571,NIFTY2661623300PE,NIFTY,0,2026-06-16,23300.0,0.05,65,PE,NFO-OPT,NFO
12944130,50563,NIFTY2661623150CE,NIFTY,0,2026-06-16,23150.0,0.05,65,CE,NFO-OPT,NFO
12944386,50564,NIFTY2661623150PE,NIFTY,0,2026-06-16,23150.0,0.05,65,PE,NFO-OPT,NFO
12946434,50572,NIFTY2661623350CE,NIFTY,0,2026-06-16,23350.0,0.05,65,CE,NFO-OPT,NFO
12946690,50573,NIFTY2661623350PE,NIFTY,0,2026-06-16,23350.0,0.05,65,PE,NFO-OPT,NFO
12943618,50561,NIFTY2661623100CE,NIFTY,0,2026-06-16,23100.0,0.05,65,CE,NFO-OPT,NFO
12943874,50562,NIFTY2661623100PE,NIFTY,0,2026-06-16,23100.0,0.05,65,PE,NFO-OPT,NFO
12946946,50574,NIFTY2661623400CE,NIFTY,0,2026-06-16,23400.0,0.05,65,CE,NFO-OPT,NFO
12947202,50575,NIFTY2661623400PE,NIFTY,0,2026-06-16,23400.0,0.05,65,PE,NFO-OPT,NFO
12941314,50552,NIFTY2661623050CE,NIFTY,0,2026-06-16,23050.0,0.05,65,CE,NFO-OPT,NFO
12941570,50553,NIFTY2661623050PE,NIFTY,0,2026-06-16,23050.0,0.05,65,PE,NFO-OPT,NFO
12947458,50576,NIFTY2661623450CE,NIFTY,0,2026-06-16,23450.0,0.05,65,CE,NFO-OPT,NFO
12947714,50577,NIFTY2661623450PE,NIFTY,0,2026-06-16,23450.0,0.05,65,PE,NFO-OPT,NFO
12940546,50549,NIFTY2661623000CE,NIFTY,0,2026-06-16,23000.0,0.05,65,CE,NFO-OPT,NFO
12940802,50550,NIFTY2661623000PE,NIFTY,0,2026-06-16,23000.0,0.05,65,PE,NFO-OPT,NFO
12949762,50585,NIFTY2661623500CE,NIFTY,0,2026-06-16,23500.0,0.05,65,CE,NFO-OPT,NFO
12950018,50586,NIFTY2661623500PE,NIFTY,0,2026-06-16,23500.0,0.05,65,PE,NFO-OPT,NFO
12938754,50542,NIFTY2661622950CE,NIFTY,0,2026-06-16,22950.0,0.05,65,CE,NFO-OPT,NFO
12939010,50543,NIFTY2661622950PE,NIFTY,0,2026-06-16,22950.0,0.05,65,PE,NFO-OPT,NFO
12951298,50591,NIFTY2661623550CE,NIFTY,0,2026-06-16,23550.0,0.05,65,CE,NFO-OPT,NFO
12951554,50592,NIFTY2661623550PE,NIFTY,0,2026-06-16,23550.0,0.05,65,PE,NFO-OPT,NFO
12937730,50538,NIFTY2661622900CE,NIFTY,0,2026-06-16,22900.0,0.05,65,CE,NFO-OPT,NFO
12937986,50539,NIFTY2661622900PE,NIFTY,0,2026-06-16,22900.0,0.05,65,PE,NFO-OPT,NFO
12951810,50593,NIFTY2661623600CE,NIFTY,0,2026-06-16,23600.0,0.05,65,CE,NFO-OPT,NFO
12952066,50594,NIFTY2661623600PE,NIFTY,0,2026-06-16,23600.0,0.05,65,PE,NFO-OPT,NFO
12954114,50602,NIFTY2661623650PE,NIFTY,0,2026-06-16,23650.0,0.05,65,PE,NFO-OPT,NFO
12964610,50643,NIFTY2661624350CE,NIFTY,0,2026-06-16,24350.0,0.05,65,CE,NFO-OPT,NFO
12964866,50644,NIFTY2661624350PE,NIFTY,0,2026-06-16,24350.0,0.05,65,PE,NFO-OPT,NFO
12964098,50641,NIFTY2661624300CE,NIFTY,0,2026-06-16,24300.0,0.05,65,CE,NFO-OPT,NFO
12964354,50642,NIFTY2661624300PE,NIFTY,0,2026-06-16,24300.0,0.05,65,PE,NFO-OPT,NFO
12963586,50639,NIFTY2661624250CE,NIFTY,0,2026-06-16,24250.0,0.05,65,CE,NFO-OPT,NFO
12963842,50640,NIFTY2661624250PE,NIFTY,0,2026-06-16,24250.0,0.05,65,PE,NFO-OPT,NFO
12963074,50637,NIFTY2661624200CE,NIFTY,0,2026-06-16,24200.0,0.05,65,CE,NFO-OPT,NFO
12963330,50638,NIFTY2661624200PE,NIFTY,0,2026-06-16,24200.0,0.05,65,PE,NFO-OPT,NFO
